Type:                    Size:          Max value:               Min value:                              
char                     1              127                      -128                                    
short int                2              32767                    -32768                                  
unsigned short int       2              65535                    0                                       
int                      4              2147483647               -2147483648                             
unsigned int             4              4294967295               0                                       
long int                 8              9223372036854775807      -9223372036854775808                    
unsigned long int        8              18446744073709551615     0                                       
float                    4              3.40282e+38              1.17549e-38                             
double                   8              1.79769e+308             2.22507e-308                            
long double              8              1.79769e+308             2.22507e-308                            
